area_640_px2,aspect_ratio
1381.25,1.30769230769
826.5625,1
371.580045624,1.7093072347
310.736529382,1.04505775794
295.525650321,1.16645335609
893.75,1.18181818182
235.406461653,1.16779593464
760.543953032,1.41150658216
454.153389096,1.39852410111
260.757926754,1.51813471503
388.601743621,1.05051782982
291.541848662,1.8481640009
669.640842455,1.21450777202
295.525650321,1.72055267703
254.601142372,2.36509408236
253.514651011,1.36024870466
336.812322057,1.25499136442
253.514651011,1.36024870466
216.573944721,1.37292182924
191.584643407,1.21450777202
293.352667598,1.34945308002
359.266476861,1.25368544209
301.320270915,1.49477879633
517.169888062,1.50027430661
291.904012449,1.44806695895
325.947408442,1.21450777202
418.299174168,1.28811430366
370.85571805,1.21450777202
830.803727741,2.03512113149
609.15949,1.64675767918
1050,1.16666666667
283.574245345,1.13074861533
1615.625,2.13636363636
1137.5,1.07692307692
244.822720119,1.21450777202
207.157686254,1.43532736693
1687.5,1.48148148148
1487.5,1.21428571429
271.622840369,1.01208981002
860.9375,1.52631578947
